"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify create_temp_file() creates a persistent temporary file.","0","test_create_temp_file","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileOperations","test_files","",""
"Verify _frame_output branches on different results.","0","test_frame_output[1---False]","test.utilities","Sat Sep 06 02:27:29 UTC 2025","passed","Sat Sep 06 02:27:29 UTC 2025","TestInternalHelpers","test_shell","",""
"Test the is_empty function with various inputs.","0","test_is_empty[hello-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"Verify that YAML data can be written and read back correctly.","2","test_read_write_yaml","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileIO","test_files","",""
"","1","python.utilities.files.create_temp_file","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Verify selection() raises ValueError for an empty choice list.","0","test_selection_raises_on_empty_choices","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestInteractivePrompts","test_cli","",""
"Verify _frame_output branches on different results.","1","test_frame_output[1--error-True]","test.utilities","Sat Sep 06 02:27:29 UTC 2025","passed","Sat Sep 06 02:27:29 UTC 2025","TestInternalHelpers","test_shell","",""
"Test the is_email function with various inputs.","1","test_is_email[test@localhost-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Verify backup_file() creates a backup with a timestamp.","0","test_backup_file_with_timestamp","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileOperations","test_files","",""
"","1","python.utilities.files.read_json","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Verify framed_box() uses correct and fallback styles.","1","test_framed_box_styles[success-green]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestUIElements","test_cli","",""
"Test the is_fqdn function with various inputs.","0","test_is_fqdn[google.com-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Test the is_ipv6 function with various inputs.","0","test_is_ipv6[::1-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation > test_is_ipv6[","test_checks","",""
"","0","python.utilities.cli.framed_box","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"Verify selection() calls fatal() and show_cursor() on KeyboardInterrupt.","3","test_selection_keyboard_interrupt","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestInteractivePrompts","test_cli","",""
"","0","python.utilities.checks.is_root","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","checks","",""
"","1","python.utilities.cli.header","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"","1","python.utilities.files.read_file","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"","1","python.utilities.checks.is_numeric","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","checks","",""
"Test the is_ipv6 function with various inputs.","1","test_is_ipv6[1234::5678::9abc-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation > test_is_ipv6[1234 > 5678","test_checks","",""
"Verify a successful command returns the correct result in capture mode.","2","test_run_success_capture_mode","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestRunFunction","test_shell","",""
"Verify get_parent() returns the parent directory as a Path object.","0","test_get_parent","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestPathInformation","test_files","",""
"Test the success path of is_internet_available by mocking the socket.","1","test_internet_available_success","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestMockedAndEdgeCases","test_checks","",""
"Test the is_true function with various inputs.","0","test_is_true[0-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"Test the is_empty function with various inputs.","0","test_is_empty[value6-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"Test the is_numeric function with various inputs.","0","test_is_numeric[None-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Verify _display_parallel_results prints summaries and respects log level.","1","test_display_parallel_results","test.utilities","Sat Sep 06 02:27:29 UTC 2025","passed","Sat Sep 06 02:27:29 UTC 2025","TestInternalHelpers","test_shell","",""
"Verify get_extension() extracts the final file extension.","0","test_get_extension","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestPathInformation","test_files","",""
"Verify a failing command with check=True raises CalledProcessError.","2","test_run_failure_check_raises","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestRunFunction","test_shell","",""
"Verify YAML functions raise ImportError if PyYAML is not available.","0","test_yaml_functions_raise_importerror_if_missing","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileIO","test_files","",""
"Test the is_fqdn function with various inputs.","0","test_is_fqdn[a.b.c.co.uk-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Verify that info() logs at the INFO level with the correct marker.","2","test_info","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestAlertFunctions","test_cli","",""
"Test the is_numeric function with various inputs.","0","test_is_numeric[abc-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Verify the 'continue' branch in random_line() is covered.","1","test_random_line_branch_coverage","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileContentAnalysis","test_files","",""
"Test the is_ipv4 function with various inputs.","0","test_is_ipv4[192.168.1.1-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"","0","python.utilities.checks.is_ipv6","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","checks","",""
"","2","python.utilities.files.list_files","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Test the is_numeric function with various inputs.","0","test_is_numeric[-45.67-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Verify that error() with exc_info=True prints a traceback.","1","test_error_with_traceback","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestAlertFunctions","test_cli","",""
"","4","python.utilities.shell.run_parallel","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","shell","",""
"Verify root/admin privilege check matches the OS's report.","0","test_is_root","test.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","TestSystemChecks","test_checks","",""
"","9","python.utilities.files.extract_archive","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Verify file_contains() correctly finds or misses substrings.","0","test_file_contains","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileContentAnalysis","test_files","",""
"Test the is_ipv4 function with various inputs.","0","test_is_ipv4[256.0.0.0-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Verify the spinner context manager calls console.status.","1","test_spinner","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestUIElements","test_cli","",""
"Verify the module-level 'yaml' is None if PyYAML can't be imported.","1","test_yaml_module_is_none_on_import_error","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileIO","test_files","",""
"","2","python.utilities.files.backup_file","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Test the is_numeric function with various inputs.","0","test_is_numeric[123-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Verify _frame_output branches on different results.","1","test_frame_output[0-output--True]","test.utilities","Sat Sep 06 02:27:29 UTC 2025","passed","Sat Sep 06 02:27:29 UTC 2025","TestInternalHelpers","test_shell","",""
"Test the is_empty function with various inputs.","0","test_is_empty[0-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"","0","python.utilities.checks.is_fqdn","scriptize.assets.python.utilities","Sat Sep 06 02:27:26 UTC 2025","passed","Sat Sep 06 02:27:26 UTC 2025","","checks","",""
"","0","python.utilities.cli.success","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"","0","python.utilities.cli.panel","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"Verify _get_key_unix for all key types.","3","test_get_key_unix","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestInternalHelpers","test_cli","",""
"","2","python.utilities.checks.is_dir","scriptize.assets.python.utilities","Sat Sep 06 02:27:26 UTC 2025","passed","Sat Sep 06 02:27:26 UTC 2025","","checks","",""
"Verify a command runs in the specified working directory.","2","test_run_with_cwd","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestRunFunction","test_shell","",""
"","202","python.utilities.shell.run_background","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","shell","",""
"Verify prompt() returns the default value.","1","test_prompt_with_default","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestInteractivePrompts","test_cli","",""
"","1","python.utilities.files.get_name","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Verify error() logs at the ERROR level without a traceback.","1","test_error_without_traceback","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestAlertFunctions","test_cli","",""
"Test the is_true function with various inputs.","0","test_is_true[1-True1]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"","2","python.utilities.files.random_line","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Verify that a non-existent command raises FileNotFoundError.","0","test_run_command_not_found_raises","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestRunFunction","test_shell","",""
"Test the is_fqdn function with various inputs.","0","test_is_fqdn[not_a_domain-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"","15","python.utilities.checks.is_email","scriptize.assets.python.utilities","Sat Sep 06 02:27:26 UTC 2025","passed","Sat Sep 06 02:27:26 UTC 2025","","checks","",""
"","0","python.utilities.cli.info","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"Verify that file content can be written and read back correctly.","0","test_read_write_file","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileIO","test_files","",""
"Verify 'stream' mode prints both stdout and stderr.","1","test_run_stream_mode_with_stdout_and_stderr","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestRunFunction","test_shell","",""
"","1","python.utilities.checks.is_true","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","checks","",""
"Verify _execute_process handles Popen objects with None for stdout/stderr.","2","test_execute_process_handles_none_streams","test.utilities","Sat Sep 06 02:27:29 UTC 2025","passed","Sat Sep 06 02:27:29 UTC 2025","TestInternalHelpers","test_shell","",""
"","1","python.utilities.files.get_extension","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Verify list_files() finds correct files and ignores subdirectories.","0","test_list_files","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileOperations","test_files","",""
"","0","python.utilities.cli.error","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"Test the is_ipv6 function with various inputs.","0","test_is_ipv6[not-an-ipv6-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Test the is_empty function with various inputs.","0","test_is_empty[value2-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"","1002","python.utilities.checks.is_internet_available","scriptize.assets.python.utilities","Sat Sep 06 02:27:26 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","checks","",""
"Test the is_numeric function with various inputs.","0","test_is_numeric[99.9-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Verify _frame_output branches on different results.","1","test_frame_output[0---False]","test.utilities","Sat Sep 06 02:27:29 UTC 2025","passed","Sat Sep 06 02:27:29 UTC 2025","TestInternalHelpers","test_shell","",""
"","2","python.utilities.files.write_yaml","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Test the is_true function with various inputs.","0","test_is_true[false-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"","0","python.utilities.checks.is_empty","scriptize.assets.python.utilities","Sat Sep 06 02:27:26 UTC 2025","passed","Sat Sep 06 02:27:26 UTC 2025","","checks","",""
"Verify symlink creation, overwrite, and error handling.","2","test_create_symlink","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileOperations","test_files","",""
"","1","python.utilities.files.create_symlink","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Verify get_basename() extracts the filename without the final extension.","0","test_get_basename","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestPathInformation","test_files","",""
"Verify that JSON data can be written and read back correctly.","0","test_read_write_json","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileIO","test_files","",""
"","1","python.utilities.cli.spinner","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
